"state","household_size","poverty_line","frl_line","low_income_line"
"Alabama",1,1,1,1
"Alabama",2,1,2,1
"Alabama",3,1,3,2
"Alabama",4,1,3,3
"Alabama",5,2,4,3
"Alabama",6,2,4,3
"Alabama",7,3,4,4
"Alabama",8,3,5,4
"Arizona",1,1,1,1
"Arizona",2,1,2,1
"Arizona",3,1,3,2
"Arizona",4,1,3,3
"Arizona",5,2,4,3
"Arizona",6,2,4,3
"Arizona",7,3,4,4
"Arizona",8,3,5,4
"Arkansas",1,1,1,1
"Arkansas",2,1,2,1
"Arkansas",3,1,3,2
"Arkansas",4,1,3,3
"Arkansas",5,2,4,3
"Arkansas",6,2,4,3
"Arkansas",7,3,4,4
"Arkansas",8,3,5,4
"California",1,1,1,1
"California",2,1,2,1
"California",3,1,3,2
"California",4,1,3,3
"California",5,2,4,3
"California",6,2,4,3
"California",7,3,4,4
"California",8,3,5,4
"Colorado",1,1,1,1
"Colorado",2,1,2,1
"Colorado",3,1,3,2
"Colorado",4,1,3,3
"Colorado",5,2,4,3
"Colorado",6,2,4,3
"Colorado",7,3,4,4
"Colorado",8,3,5,4
"Connecticut",1,1,1,1
"Connecticut",2,1,2,1
"Connecticut",3,1,3,2
"Connecticut",4,1,3,3
"Connecticut",5,2,4,3
"Connecticut",6,2,4,3
"Connecticut",7,3,4,4
"Connecticut",8,3,5,4
"Delaware",1,1,1,1
"Delaware",2,1,2,1
"Delaware",3,1,3,2
"Delaware",4,1,3,3
"Delaware",5,2,4,3
"Delaware",6,2,4,3
"Delaware",7,3,4,4
"Delaware",8,3,5,4
"District of Columbia",1,1,1,1
"District of Columbia",2,1,2,1
"District of Columbia",3,1,3,2
"District of Columbia",4,1,3,3
"District of Columbia",5,2,4,3
"District of Columbia",6,2,4,3
"District of Columbia",7,3,4,4
"District of Columbia",8,3,5,4
"Florida",1,1,1,1
"Florida",2,1,2,1
"Florida",3,1,3,2
"Florida",4,1,3,3
"Florida",5,2,4,3
"Florida",6,2,4,3
"Florida",7,3,4,4
"Florida",8,3,5,4
"Georgia",1,1,1,1
"Georgia",2,1,2,1
"Georgia",3,1,3,2
"Georgia",4,1,3,3
"Georgia",5,2,4,3
"Georgia",6,2,4,3
"Georgia",7,3,4,4
"Georgia",8,3,5,4
"Idaho",1,1,1,1
"Idaho",2,1,2,1
"Idaho",3,1,3,2
"Idaho",4,1,3,3
"Idaho",5,2,4,3
"Idaho",6,2,4,3
"Idaho",7,3,4,4
"Idaho",8,3,5,4
"Illinois",1,1,1,1
"Illinois",2,1,2,1
"Illinois",3,1,3,2
"Illinois",4,1,3,3
"Illinois",5,2,4,3
"Illinois",6,2,4,3
